name,path,has_oms,has_carbon,has_hydrogen,has_atomic_overlaps,has_overcoordinated_c,has_metal,density
MIKJAR_clean,/home/kevin/mof_core2/MIKJAR_clean.cif,True,True,True,False,False,True,1.960363270812324
LAXCUK_clean,/home/kevin/mof_core2/LAXCUK_clean.cif,True,False,False,False,False,True,0.8643510317003977
ROYRII_clean,/home/kevin/mof_core2/ROYRII_clean.cif,True,True,True,False,False,True,1.1787387661115645
FEYQUW_clean,/home/kevin/mof_core2/FEYQUW_clean.cif,False,True,True,False,False,True,1.4827838949199146
MARLID_clean,/home/kevin/mof_core2/MARLID_clean.cif,False,True,True,False,False,True,1.6215016074395503
ERIJUM_clean,/home/kevin/mof_core2/ERIJUM_clean.cif,True,True,True,False,False,True,1.2184338616001191
UTUMAY_clean,/home/kevin/mof_core2/UTUMAY_clean.cif,True,True,True,False,False,True,1.233634506397979
TIPZOJ_clean,/home/kevin/mof_core2/TIPZOJ_clean.cif,True,True,True,False,True,True,2.5345842706902584
NIJTOR_clean,/home/kevin/mof_core2/NIJTOR_clean.cif,True,True,True,False,False,True,1.3508719016679827
CAVRAU_clean,/home/kevin/mof_core2/CAVRAU_clean.cif,True,True,True,False,False,True,0.9941631744414937
ASAHEJ_clean,/home/kevin/mof_core2/ASAHEJ_clean.cif,True,True,True,False,False,True,2.102942462201131
FORKUU_clean,/home/kevin/mof_core2/FORKUU_clean.cif,False,True,True,False,False,True,0.5975068507066414
JUKNUA_clean,/home/kevin/mof_core2/JUKNUA_clean.cif,True,True,True,False,False,True,3.5019947476316924
HIHGAI_clean,/home/kevin/mof_core2/HIHGAI_clean.cif,True,True,True,False,False,True,1.007896433929633
ic501879w_ic501879w_si_003_clean,/home/kevin/mof_core2/ic501879w_ic501879w_si_003_clean.cif,True,True,True,False,False,True,0.8154240547445688
HOGPUQ_clean,/home/kevin/mof_core2/HOGPUQ_clean.cif,False,True,True,False,False,True,2.0887399090979732
YUKKAS_clean,/home/kevin/mof_core2/YUKKAS_clean.cif,False,True,True,False,False,True,1.8963431220350644
LETDUK_clean,/home/kevin/mof_core2/LETDUK_clean.cif,True,True,True,False,False,True,1.1043165875747878
NANPUN_clean,/home/kevin/mof_core2/NANPUN_clean.cif,True,False,False,False,False,True,1.180405398931526
IDAZEU_clean,/home/kevin/mof_core2/IDAZEU_clean.cif,True,False,False,False,False,True,2.2451548050909
LITCOI_clean,/home/kevin/mof_core2/LITCOI_clean.cif,True,True,True,False,False,True,1.0528458319052743
c5ce01594d_c5ce01594d3_clean,/home/kevin/mof_core2/c5ce01594d_c5ce01594d3_clean.cif,True,True,True,False,False,True,1.2589670043404266
